scanned_id,shelf_id,isbn_13,isbn_10,gbooks_id,gbooks_href,title,subtitle,author,all_authors,category,all_categories,loc_number,loc_href
"9781593080594","Dram-OscarW-TheImporta-9781593080594","9781593080594","159308059X","YkXKfA23D3wC","https://www.google.com/search?tbm=bks&q=isbn:9781593080594","The Importance of Being Earnest and Four Other Plays","","Oscar Wilde","Oscar Wilde","Drama","Drama","","https://www.loc.gov/search?q=9781593080594"
"9781593080259","Fict-OscarW-ThePicture-9781593080259","9781593080259","1593080255","Gy_T3abN6AEC","https://www.google.com/search?tbm=bks&q=isbn:9781593080259","The Picture of Dorian Gray","","Oscar Wilde","Oscar Wilde","Fiction","Fiction","","https://www.loc.gov/search?q=9781593080259"
"9781593082208","---9781593082208","","","","https://www.google.com/search?tbm=bks&q=isbn:9781593082208","","","","","","","","https://www.loc.gov/search?q=9781593082208"
"9780140449105","Phil-Thomas-Utopia-9780140449105","9780140449105","0140449108","g7nCxQEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780140449105","Utopia","","Thomas More","Thomas More","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780140449105"
"2900872201360","---2900872201360","","","","https://www.google.com/search?tbm=bks&q=isbn:2900872201360","","","","","","","","https://www.loc.gov/search?q=2900872201360"
"9780060652937","Reli-C.S.Le-TheScrewta-9780060652937","9780060652937","0060652934","w48kmK8CrvEC","https://www.google.com/search?tbm=bks&q=isbn:9780060652937","The Screwtape Letters","","C. S. Lewis","C. S. Lewis","Religion","Religion","","https://www.loc.gov/search?q=9780060652937"
"9780060652968","Reli-C.S.Le-TheProblem-9780060652968","9780060652968","0060652969","NSjlftWk78kC","https://www.google.com/search?tbm=bks&q=isbn:9780060652968","The Problem of Pain","","C. S. Lewis","C. S. Lewis","Religion","Religion","","https://www.loc.gov/search?q=9780060652968"
"9780060653019","Reli-C.S.Le-Miracles-9780060653019","9780060653019","0060653019","lLBwxgEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780060653019","Miracles","","C. S. Lewis","C. S. Lewis","Religion","Religion","","https://www.loc.gov/search?q=9780060653019"
"9781594634734","-Elizab-CityofGirl-9781594634734","9781594634734","1594634734","GIubDwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9781594634734","City of Girls","","Elizabeth Gilbert","Elizabeth Gilbert","","","","https://www.loc.gov/search?q=9781594634734"
"9780735224896","Soci-GregLu-TheCoddlin-9780735224896","9780735224896","0735224897","F_xtDwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9780735224896","The Coddling of the American Mind","How Good Intentions and Bad Ideas are Setting Up a Generation for Failure","Greg Lukianoff","Greg Lukianoff;Jonathan Haidt","Social Science","Social Science","","https://www.loc.gov/search?q=9780735224896"
"9780316228534","Fict-J.K.Ro-TheCasualV-9780316228534","9780316228534","0316228532","ZhZ2ugEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780316228534","The Casual Vacancy","","J. K. Rowling","J. K. Rowling","Fiction","Fiction","","https://www.loc.gov/search?q=9780316228534"
"9780140177398","Fict-JohnSt-OfMiceandM-9780140177398","9780140177398","0140177396","MxyAZEPCTl4C","https://www.google.com/search?tbm=bks&q=isbn:9780140177398","Of Mice and Men","","John Steinbeck","John Steinbeck","Fiction","Fiction","","https://www.loc.gov/search?q=9780140177398"
"9780062498533","Youn-AngieT-TheHateUGi-9780062498533","9780062498533","0062498533","QRFnvgAACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780062498533","The Hate U Give","","Angie Thomas","Angie Thomas","Young Adult Fiction","Young Adult Fiction","","https://www.loc.gov/search?q=9780062498533"
"9780062498564","---9780062498564","","","","https://www.google.com/search?tbm=bks&q=isbn:9780062498564","","","","","","","","https://www.loc.gov/search?q=9780062498564"
"9781594634710","Body-Elizab-BigMagic-9781594634710","9781594634710","1594634718","q0LZCwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9781594634710","Big Magic","Creative Living Beyond Fear","Elizabeth Gilbert","Elizabeth Gilbert","Body, Mind & Spirit","Body, Mind & Spirit","","https://www.loc.gov/search?q=9781594634710"
"9781439141663","Fore-Langen-German-Eng-9781439141663","9781439141663","1439141665","hHspyAEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9781439141663","German-English Dictionary, Second Edition","","Langenscheidt","Langenscheidt","Foreign Language Study","Foreign Language Study","","https://www.loc.gov/search?q=9781439141663"
"9780374508043","Fict-Flanne-Mysteryand-9780374508043","9780374508043","0374508046","xc8UxwEACAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780374508043","Mystery and Manners","Occasional Prose","Flannery O'Connor","Flannery O'Connor","Fiction","Fiction","","https://www.loc.gov/search?q=9780374508043"
"9781593082109","Fict-MarkTw-AConnectic-9781593082109","9781593082109","159308210X","fXlHQpUXWb8C","https://www.google.com/search?tbm=bks&q=isbn:9781593082109","A Connecticut Yankee in King Arthur's Court","","Mark Twain","Mark Twain","Fiction","Fiction","","https://www.loc.gov/search?q=9781593082109"
"9780812695236","Phil-Rudolf-TheLogical-9780812695236","9780812695236","0812695232","WgY2ZMsJtQgC","https://www.google.com/search?tbm=bks&q=isbn:9780812695236","The Logical Structure of the World","And, Pseudoproblems in Philosophy","Rudolf Carnap","Rudolf Carnap","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780812695236"
"9780812695243","Phil-Rudolf-TheLogical-9780812695243","9780812695243","0812695240","j6RqQtU0OKkC","https://www.google.com/search?tbm=bks&q=isbn:9780812695243","The Logical Syntax of Language","","Rudolf Carnap","Rudolf Carnap","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780812695243"
"9780674000780","Phil-JohnRa-ATheoryofJ-9780674000780","","","TWHuAAAAMAAJ","https://www.google.com/search?tbm=bks&q=isbn:9780674000780","A Theory of Justice, Revised Edition","","John Rawls","John Rawls;John 20000710Rawls;Professor John Rawls","Philosophy","Philosophy","","https://www.loc.gov/search?q=9780674000780"
"9780300245929","Psyc-IainMc-TheMastera-9780300245929","9780300245929","0300245920","cTiIDwAAQBAJ","https://www.google.com/search?tbm=bks&q=isbn:9780300245929","The Master and His Emissary","The Divided Brain and the Making of the Western World","Iain McGilchrist","Iain McGilchrist","Psychology","Psychology","","https://www.loc.gov/search?q=9780300245929"
